external_id,merchant_source_facts_reviewed,source_fact_urls,operator_enrichment_shape,operator_enrichment_width_class,operator_enrichment_style_tags,review_status,review_notes
AKILA-2647-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/tracer-2647; https://akila.la/collections/all-sunglasses,rectangle,wide,rectangular|structured|everyday,APPROVED,Shape is source-described as rectangular; width class and tags are operator enrichment from verified dimensions and product imagery; no fit guarantee.
AKILA-2647-93-33,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/tracer-2647; https://akila.la/collections/all-sunglasses,rectangle,wide,rectangular|structured|color-contrast,APPROVED,Shape is source-described as rectangular; width class and tags are operator enrichment from verified dimensions and product imagery; no fit guarantee.
AKILA-2640-92-32,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/pulse-2640; https://akila.la/collections/all-sunglasses,wrap,wide,wraparound|bold|ergonomic,APPROVED,Wraparound and ergonomic language are source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2610-99-06,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/petal-2610,oval,narrow,oval|minimalist|titanium,APPROVED,Oval titanium language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2641-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/myca-2641; https://akila.la/collections/all-sunglasses,aviator,wide,aviator|slim|metropolitan,APPROVED,Aviator and slim acetate language are source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2607-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/reed-2607,oval,regular,oval|slim|minimal,APPROVED,Narrow oval and titanium language are source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2638-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/vega-2638; https://akila.la/collections/all-sunglasses,rectangle,regular,rectangular|classic|structured,APPROVED,Classic rectangular front is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2630-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/helix-2630,teardrop,narrow,teardrop|half-rim|lightweight,APPROVED,Curved titanium half-rim language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2606-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/rey-2606; https://akila.la/collections/all-sunglasses,rounded,regular,rounded|easy|rivets,APPROVED,Width class and rounded tags are operator enrichment from verified dimensions and product imagery; no fit guarantee.
AKILA-2639-33-03,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/rune-2639; https://akila.la/collections/all-sunglasses,oversized,wide,oversized|wraparound|statement,APPROVED,Bold oversized and wraparound language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2636-54-64,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/mira-2636; https://akila.la/collections/all-sunglasses,soft-curve,regular,soft-curve|modern|color,APPROVED,Width class and soft-curve tags are operator enrichment from verified dimensions and product imagery; no fit guarantee.
AKILA-2612-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/solace-2612; https://akila.la/collections/all-sunglasses,rounded,wide,classic|strong-silhouette|everyday,APPROVED,Strong silhouette and everyday language is source-described; shape width class and tags are operator enrichment; no fit guarantee.
AKILA-2604-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/atlas-2604; https://akila.la/collections/all-sunglasses,classic,wide,classic|adjustable|structured,APPROVED,Classic design and adjustable nose-pad language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2619-01-01,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/nomos-2619; https://akila.la/collections/all-sunglasses,tapered,regular,understated|tapered|versatile,APPROVED,Understated and tapered language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2608-01-32,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/echo-2608; https://akila.la/collections/all-sunglasses,aviator,narrow,aviator|compact|titanium,APPROVED,Scaled-down aviator and titanium language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2610-01-09,name; variant; color; price; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/petal-optical-2610,oval,narrow,oval|minimalist|optical,APPROVED,Oval titanium language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2641-01-09,name; variant; color; availability; product URL; image URL; product type; dimensions; material,https://akila.la/products/myca-optical-2641,aviator,wide,aviator|slim|metropolitan|optical,APPROVED,Slim acetate aviator language is source-described; width class and tags are operator enrichment; no fit guarantee.
AKILA-2619-09-09,name; variant; color; availability; product URL; image URL; product type; dimensions,https://akila.la/products/nomos-optical-2619,tapered,regular,understated|tapered|optical,APPROVED,Material is intentionally blank because it was not stated on the reviewed product page; shape width class and tags are operator enrichment; no fit guarantee.
