rank,domain,source_url,classification,quality,replicable,visutry_action,status
1,github.com,https://github.com/fmhy/FMHY/wiki/%F0%9F%93%82-Miscellaneous,community_resource,high,conditional,Research FMHY contribution policy and propose VisuTry under face tools,qualified
2,beehiiv.com,https://ebizfacts.beehiiv.com/p/ebiz-insider-newsletter-472,editorial_newsletter,high,conditional,Pitch a founder story backed by free Detector usage evidence,qualified
3,provenexpert.com,https://www.provenexpert.com/en-us/1000ventures/,unrelated_profile,low,no,Do not reproduce an unrelated profile link,rejected
4,rentry.co,https://rentry.co/FMHYMisc,community_mirror,medium,indirect,Do not target separately because it mirrors FMHY,observe
5,tirto.id,https://tirto.id/macam-bentuk-wajah-dan-cara-mengetahuinya-hfsE,editorial_face_shape,high,conditional,Offer the free private Detector as an updated practical resource,qualified
6,perfectcorp.com,https://www.perfectcorp.com/business/blog/ai-skincare/face-shape-detector-review,competitor_roundup,high,yes,Request evaluation in the next face-shape detector comparison update,qualified
7,saashub.com,https://www.saashub.com/best-online-tests-software,directory_category,high,yes,Refresh existing VisuTry listing and seek relevant category inclusion,active
8,sidehustlenation.com,https://www.sidehustlenation.com/side-hustle-trends/,editorial_business_story,high,conditional,Pitch only after usage or revenue evidence supports a real founder story,qualified_later
9,imyfone.com,https://filme.imyfone.com/ai-tips/ai-face-analyzer/,competitor_roundup,high,yes,Pitch VisuTry for the free private Detector category,qualified
10,orah.co,https://orah.co/low-taper-fade/,editorial_hairstyle,medium,yes,Offer Detector as a face-shape step before hairstyle selection,qualified
11,linkcentre.com,https://www.linkcentre.com/health-medicine/face-analysis-tools/,directory,medium,yes,Verify free listing terms and submit under face analysis tools,qualified
12,temp-site.link,http://app-denesik.tucq7oehuk-wg96gg8o16oy.p.temp-site.link/telegram-seo-linkk-mass-backlinking-black-seo-3-16/,blackhat_spam,zero,no,Never reproduce,rejected
13,servicio-online.net,https://38857001.servicio-online.net/telegram-seo-linkk-mass-backlinking-black-seo-3-15/,blackhat_spam,zero,no,Never reproduce,rejected
14,developmentmi.com,https://developmentmi.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
15,seaart.ai,https://www.seaart.ai/blog/ai-face-shape-detectors,competitor_roundup,high,yes,Request inclusion in the next detector roundup update,qualified
16,starcourts.com,https://starcourts.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
17,webranksite.com,https://webranksite.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
18,toparticlesdirectory.com,https://toparticlesdirectory.com/understanding-consumer-decision-makings-psychology-for-better-marketing/,irrelevant_syndication,zero,no,Never reproduce,rejected
19,alfanalabyad.com,https://alfanalabyad.com/telegram-seo-linkk-mass-backlinking-black-seo-3-16/,blackhat_spam,zero,no,Never reproduce,rejected
20,promoteproject.com,https://www.promoteproject.com/public/index.php/startup/192602/poison-pill,unrelated_ugc,low,no,Do not reproduce an unrelated UGC placement,rejected
21,glarity.app,https://askai.glarity.app/zh-CN/search/%E4%BB%80%E4%B9%88%E6%98%AF%E9%9D%A2%E9%83%A8%E5%BD%A2%E7%8A%B6%E8%AF%86%E5%88%AB%E5%99%A8,auto_ai_answer,low,indirect,Earn through clear entity content rather than manual submission,observe
22,bilalarticles.com,https://bilalarticles.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
23,fmhy.net,https://fmhy.net/misc,community_resource,high,conditional,Research official FMHY contribution route and submit once if allowed,qualified
24,seo-tip.com,https://seo-tip.com/domain.php?part=65702,auto_seo_report,zero,no,Never reproduce,rejected
25,wants.cfd,https://wants.cfd/domain/domain/part/65702,auto_seo_report,zero,no,Never reproduce,rejected
26,linkanews.com,https://linkanews.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
27,urls-shortener.eu,https://urls-shortener.eu/share/54030,auto_url_share,zero,no,Never reproduce,rejected
28,takes.sbs,https://takes.sbs/domain/domain/part/65702,auto_seo_report,zero,no,Never reproduce,rejected
29,aitoolnet.com,https://www.aitoolnet.com/fr/s/face_filters,directory_roundup,medium,yes,Submit or request inclusion in face and beauty AI categories,qualified
30,businessnewses.com,https://businessnewses.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
31,sitesnewses.com,https://sitesnewses.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
32,quero.party,https://quero.party/report/54030,auto_domain_report,zero,no,Never reproduce,rejected
33,aiheron.com,https://www.aiheron.com/tags-etagid11942-0.html,ai_directory,medium,yes,Find the official submission route and list VisuTry in face AI,qualified
34,bye.fyi,https://bye.fyi/report/54030,auto_domain_report,zero,no,Never reproduce,rejected
35,clicktohigh.com,https://clicktohigh.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
36,seohubdirectory.com,https://seohubdirectory.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
37,atomizelink.icu,https://atomizelink.icu/report/54031,auto_domain_report,zero,no,Never reproduce,rejected
38,beeinmotionri.org,https://beeinmotionri.org/telegram-seo-linkk-mass-backlinking-black-seo-3-9/,blackhat_spam,zero,no,Never reproduce,rejected
39,postonseo.com,https://postonseo.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
40,adzbusiness.com,https://adzbusiness.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
41,rankerdirectory.com,https://rankerdirectory.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
42,backlink.wiki,https://backlink.wiki/domain.php?part=65702,auto_seo_report,zero,no,Never reproduce,rejected
43,mex.com,https://domain.gov.mex.com/domain.php?part=65702,auto_seo_report,zero,no,Never reproduce,rejected
44,backlinks-checker.com,https://backlinks-checker.com/share/54030,auto_url_report,zero,no,Never reproduce,rejected
45,weknow.website,https://weknow.website/domain.php?part=65702,auto_seo_report,zero,no,Never reproduce,rejected
46,anchorurl.cloud,https://anchorurl.cloud/share/54030,auto_url_share,zero,no,Never reproduce,rejected
47,proseolinksdirectory.com,https://proseolinksdirectory.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
48,prolinksdirectory.com,https://prolinksdirectory.com/advanced-video-retargeting-for-improved-e-commerce-conversions/,irrelevant_syndication,zero,no,Never reproduce,rejected
49,haircutinspiration.com,https://haircutinspiration.com/flow-hairstyle/,editorial_hairstyle,high,yes,Offer Detector as a cited tool for choosing styles by face shape,qualified
50,aipassportphotos.com,https://www.aipassportphotos.com/blog/best-ai-face-shape-detector/,competitor_roundup,high,yes,Request a fair test and inclusion in the next detector roundup,qualified
51,yahoo.com,,search_or_aggregation_surface,high,no,Do not treat search or aggregation discovery as a submission channel,observe
52,yandex.ru,,search_engine_surface,high,no,Do not treat search-engine discovery as a submission channel,observe
53,ya.ru,,search_engine_surface,high,no,Do not treat search-engine discovery as a submission channel,observe
54,dhgate.com,,marketplace_or_ugc,low,no,Resolve the exact source before considering any action,observe
55,scam-detector.com,https://www.scam-detector.com/validator/detect-face-shape-com-review/,automatic_trust_report,low,no,Do not pursue an algorithmically generated validator page as a backlink tactic,rejected
56,riseup.net,,hosted_community_content,low,no,Exact source is unknown and the host is unrelated to face tools,observe
57,sidehustleapp.co,,unknown_new_domain,low,conditional,Resolve the exact source and site legitimacy before deciding,observe
58,analyticshaven.top,,low_authority_new_domain,zero,no,Do not reproduce without evidence of a legitimate relevant source,rejected
59,metamagic.top,,low_authority_new_domain,zero,no,Do not reproduce without evidence of a legitimate relevant source,rejected
60,digitalseotool.com,,low_authority_new_domain,zero,no,Do not reproduce without evidence of a legitimate relevant source,rejected
