external_id,merchant_source_facts_reviewed,source_fact_urls,operator_enrichment_shape,operator_enrichment_width_class,operator_enrichment_style_tags,review_status,review_notes
FRAMED-EWE-10472967405856-51987850428704,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/akila-myca-sunglasses,aviator,wide,aviator|slim|metropolitan,APPROVED,Shape and width class normalize the official description and dimensions; no fit guarantee. Product brand remains source metadata separate from Framed EWE merchant identity.
FRAMED-EWE-10450729992480-51950719959328,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/akila-pulse-sunglasses,wrap,wide,wraparound|ergonomic|bold,APPROVED,Shape and width class are operator enrichment from official description and dimensions; no fit guarantee.
FRAMED-EWE-10450711445792-51950692303136,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/akila-tracer-sunglasses,rectangle,wide,rectangular|structured|casual,APPROVED,Shape and width class are operator enrichment from official description and dimensions; no fit guarantee.
FRAMED-EWE-10450696569120-51950672609568,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/akila-petal-optical,oval,narrow,oval|minimalist|optical,APPROVED,Shape and width class are operator enrichment from official description and dimensions; prescription-ready is retained only as a source statement.
FRAMED-EWE-10488944066848-52016548839712,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; sun-lens detail,https://framedewe.com/products/rigards-rg1091ti-sunglasses,round,regular,round|handmade|sun,APPROVED,Shape and width class normalize official tags and measurements; no fit guarantee.
FRAMED-EWE-10488935940384-52016531996960,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; sun-lens detail,https://framedewe.com/products/rigards-rg1081ag-sunglasses,rectangle,regular,square|rectangle|handmade|sun,APPROVED,Shape and width class normalize official tags and measurements; no fit guarantee.
FRAMED-EWE-10308458184992-51595211473184,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; lens detail,https://framedewe.com/products/rigards-rg1979gbs-optical,aviator,wide,aviator|monocoque|optical,APPROVED,Shape and width class normalize official tags and measurements; no fit guarantee.
FRAMED-EWE-10308451991840-51595190042912,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; sun-lens detail,https://framedewe.com/products/rigards-rg1093ti-sunglasses,round,regular,round|handmade|sun,APPROVED,Shape and width class normalize official tags and measurements; no fit guarantee.
FRAMED-EWE-10490557333792-52020703133984,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/lool-horizon-2-sun-clip-sunglasses,aviator,wide,aviator|sun-clip|architectural,APPROVED,Front/caliber/bridge are source facts; source Temple 0mm is not imported as a physical dimension. Shape and width class are operator enrichment.
FRAMED-EWE-10490544619808-52020699693344,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/lool-hangar-2-sun-clip-49-sunglasses,round,regular,round|sun-clip|architectural,APPROVED,Front/caliber/bridge are source facts; source Temple 0mm is not imported as a physical dimension. Shape and width class are operator enrichment.
FRAMED-EWE-10490500776224-52020666269984,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/lool-hangar-2-49-optical,round,regular,round|architectural|optical,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10485428781344-52004437983520,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/lool-naos-optical,round,regular,round|architectural|optical,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10474953310496-51991134961952,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/kuboraum-h15-sunglasses,rectangle,regular,square|rectangle|mask|sun,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10474916217120-51991102882080,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/kuboraum-h66-sunglasses,rectangle,regular,square|rectangle|mask|sun,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10474890166560-51991096394016,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/kuboraum-p25-optical,rectangle,regular,square|rectangle|mask|optical,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10474887446816-51991092330784,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material,https://framedewe.com/products/kuboraum-h66-optical,rectangle,regular,square|rectangle|mask|optical,APPROVED,Shape and width class are operator enrichment from official tags and measurements; no fit guarantee.
FRAMED-EWE-10464586400032-51972569104672,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; source fit wording; lens detail,https://framedewe.com/products/ahlem-rue-du-soleil-sunglasses,round,regular,round|oversized|handcrafted|sun,APPROVED,Shape and width class are operator enrichment; the source's medium-to-wide wording is not converted into a fit guarantee.
FRAMED-EWE-10464548061472-51972550492448,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; source fit wording; lens detail,https://framedewe.com/products/ahlem-reaumur-sunglasses,rectangle,regular,square|rectangle|handcrafted|sun,APPROVED,Shape and width class are operator enrichment; the source's medium-to-extra-wide wording is not converted into a fit guarantee.
FRAMED-EWE-10457316426016-51960624578848,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; source fit wording; lens detail,https://framedewe.com/products/ahlem-marguerite-sunglasses,rectangle,regular,square|rectangle|handcrafted|sun,APPROVED,Shape and width class are operator enrichment; the source's medium-to-wide wording is not converted into a fit guarantee.
FRAMED-EWE-10216407728416-51275447304480,name; vendor; product URL; image; product type; variant; price; availability; dimensions; material; source fit wording,https://framedewe.com/products/ahlem-paris-04-optical,oval,regular,oval|refined|handcrafted|optical,APPROVED,Shape and width class are operator enrichment; the source's small-to-medium wording is not converted into a fit guarantee.
